"Latitude","Longitude"
37.4695849474,-122.2194057368
37.4713714667,-122.2258454667
37.4792989,-122.22423755
37.476335,-122.23273952
37.4676851429,-122.2345084643
37.4539947308,-122.2252931923
37.4564299231,-122.2340736923
37.45945006,-122.25462772
37.4845182222,-122.2421721111
37.4802314,-122.2486187714
37.471726617,-122.2531095532
37.489783,-122.2529546875
37.4984025,-122.2578540714
37.5071670714,-122.2672219286
37.5137251667,-122.2797490833
37.5204582917,-122.2876355
37.4939607857,-122.2408845
37.4893969091,-122.2305946364
37.5542211429,-122.2404062857
37.5107655476,-122.2553796667
37.5264275152,-122.273063697
37.5317091429,-122.2828885714
37.5361905,-122.2896257778
37.5457198519,-122.2841456296
37.5618990909,-122.2933777273
37.5582413125,-122.3093384375
37.546162,-122.2995758421
37.5658524615,-122.3033770769
37.5702206,-122.30311036
37.572573375,-122.2939335
37.58499985,-122.343335
37.5920049048,-122.3712687143
37.6072203548,-122.3939349355
37.5813754375,-122.3317949375
37.5728300556,-122.3219542222
37.5653787391,-122.3199147826
37.5624295385,-122.3263850769
37.553204913,-122.3301763478
37.5525686,-122.3177817333
37.5441923125,-122.31371425
37.5402547857,-122.3241105357
37.5284598085,-122.3387795319
37.5232305897,-122.3232178205
37.503764766,-122.3032047872
37.4462464,-122.3601313515
37.5230016207,-122.3453192414
37.5457082698,-122.3468987302
37.5667561731,-122.3727177885
37.5813870556,-122.3646197778
37.5815973548,-122.3793412903
37.5766602941,-122.3497057059
37.5676754,-122.3449396667
37.5722151429,-122.3353610714
37.5794577258,-122.387677129
37.5892010909,-122.3991234545
37.5939872083,-122.40664975
37.6012381538,-122.418731
37.6128158571,-122.4156928571
37.6224175,-122.4219149286
37.619641375,-122.428483
37.61774368,-122.43387864
37.6337825,-122.4496806364
37.62756216,-122.45958964
37.6395657143,-122.4517227143
37.6465491739,-122.4605944348
37.6451353158,-122.4378182105
37.655691875,-122.4469656667
37.655670037,-122.4608477037
37.6695408636,-122.4697840909
37.669026,-122.4786265238
37.6750835263,-122.4852973684
37.6821598696,-122.4788076522
37.6924956087,-122.4788583478
37.6982558824,-122.4666824706
37.68770384,-122.46566652
37.7001953158,-122.4796376842
37.7035453889,-122.4858995556
37.7134442105,-122.4674978421
37.7116,-122.4542927143
37.7194872222,-122.4428274444
37.7296759565,-122.4450663913
37.7282852308,-122.4361979231
37.7288738571,-122.4235386667
37.7322738421,-122.4125111579
37.7284244375,-122.405269625
37.7342566667,-122.4020727333
37.7324719167,-122.3961360833
37.7277387778,-122.3872272222
37.7339750588,-122.3839274118
37.735049381,-122.3761063095
37.7249683,-122.37532025
37.7369148235,-122.3908712353
37.7444900714,-122.3904751786
37.7215028182,-122.4022493636
37.7247544167,-122.3982935
37.7213893333,-122.3896490833
37.7164835789,-122.4034193158
37.7133344444,-122.3936956296
37.6874868254,-122.4164282381
37.6505019167,-122.406967375
37.7368024375,-122.4130164375
37.7441743158,-122.4079907895
37.7538865,-122.398812375
37.7519512727,-122.4065491818
37.7514255556,-122.4107466667
37.7512786667,-122.413962
37.7558248,-122.4122873
37.7611239167,-122.4138035
37.7594955385,-122.4191533077
37.7593735455,-122.4237752727
37.7438921304,-122.4144681739
37.7522731667,-122.4188421667
37.7627099,-122.3956316
37.7726641304,-122.3938614348
37.7605479474,-122.3879021053
37.7592165,-122.4062461429
37.7614461667,-122.4024515
37.7687935556,-122.4129638333
37.7696297692,-122.4203573846
37.768213,-122.4246815714
37.7737234706,-122.4038595882
